"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jun 27 06:43:45 GMT 2022","Mon Jun 27 06:43:52 GMT 2022","6943","Suite","Test","Google_Test","Google_Test","searchAndGetFirstResult","searchAndGetFirstResult","Open Google Chrome
Navigate to [https://www.google.com/ncr]
Search for [Selenium WebDriver]
Assert that the text of the first result is [Selenium - Web Browser Automation]
Close Google Chrome
"
"failed","Mon Jun 27 06:46:52 GMT 2022","Mon Jun 27 06:46:52 GMT 2022","1","Suite","Test","Google_Test","Google_Test","setUp_BeforeMethods","setUp_BeforeMethods",""
"passed","Mon Jun 27 06:43:40 GMT 2022","Mon Jun 27 06:43:42 GMT 2022","1906","Suite","Test","Google_Test","Google_Test","checkGoogleLogoIsDisplayed","checkGoogleLogoIsDisplayed",""
"skipped","Mon Jun 27 06:46:52 GMT 2022","Mon Jun 27 06:46:52 GMT 2022","2","Suite","Test","Google_Test","Google_Test","verifySearchResults","verifySearchResults",""
"unknown","Mon Jun 27 06:43:33 GMT 2022","Mon Jun 27 06:43:33 GMT 2022","1","Suite","Test","Google_Test","Google_Test","searchBy_text_and_index_list","searchBy_text_and_index_list",""
"skipped","Mon Jun 27 06:46:52 GMT 2022","Mon Jun 27 06:46:52 GMT 2022","5","Suite","Test","Google_Test","Google_Test","searchForSecondResultAndOpen","searchForSecondResultAndOpen",""
"skipped","Mon Jun 27 06:46:52 GMT 2022","Mon Jun 27 06:46:52 GMT 2022","4","Suite","Test","Google_Test","Google_Test","searchForFourthResult","searchForFourthResult","Open Mozilla Firefox
Navigate to [https://www.google.com/]
Search for [TestNG]
Assert that the text of the fourth result is [TestNG Tutorial]
Close Mozilla Firefox
"
"skipped","Mon Jun 27 06:46:52 GMT 2022","Mon Jun 27 06:46:52 GMT 2022","1","Suite","Test","Google_Test","Google_Test","verifyCountryIsEqual","verifyCountryIsEqual",""
"passed","Mon Jun 27 06:43:43 GMT 2022","Mon Jun 27 06:43:44 GMT 2022","1626","Suite","Test","Google_Test","Google_Test","checkPageTitle","checkPageTitle",""
"passed","Mon Jun 27 06:43:35 GMT 2022","Mon Jun 27 06:43:39 GMT 2022","4031","Suite","Test","Google_Test","Google_Test","SearchAndGetResultByText","SearchAndGetResultByText",""
